'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-07-01',0.0,0.83999999999999996891,0.36249999999999998889,1.4499999999999999555,0.0,0.0,0.0,0.0
'2013-07-02',0.0,0.83999999999999996891,0.28999999999999998001,1.4499999999999999555,0.0,0.0,0.0,0.0
'2013-07-03',0.0,0.83999999999999996891,0.24166666666666666851,1.4499999999999999555,0.0,0.0,0.0,0.0
'2013-07-04',0.0,0.83999999999999996891,0.20714285714285712858,1.4499999999999999555,0.0,0.0,0.0,0.0
'2013-07-05',0.0,0.53000000000000002664,0.11857142857142856373,0.82999999999999996003,0.0,0.0,0.0,0.0
'2013-07-06',0.0,0.53000000000000002664,0.13999999999999998556,0.97999999999999998223,0.0,0.0,0.0,0.0
'2013-07-07',0.0,0.23000000000000000999,0.064285714285714293247,0.4500000000000000111,0.0,0.0,0.0,0.0
'2013-07-08',0.0,0.23000000000000000999,0.064285714285714293247,0.4500000000000000111,0.0,0.0,0.0,0.0
'2013-07-09',0.0,0.25,0.099999999999999991673,0.69999999999999995559,0.0,0.0,0.0,0.0
'2013-07-10',0.0,0.25,0.10857142857142856873,0.76000000000000000888,0.0,0.0,0.0,0.0
'2013-07-11',0.0,0.25,0.10857142857142856873,0.76000000000000000888,0.0,0.0,0.0,0.0
'2013-07-12',0.0,0.25,0.077142857142857151897,0.54000000000000003552,0.0,0.0,0.0,0.0
'2013-07-13',0.0,0.25,0.044285714285714282423,0.30999999999999999777,0.0,0.0,0.0,0.0
'2013-07-14',0.0,0.25,0.044285714285714282423,0.30999999999999999777,0.0,0.0,0.0,0.0
'2013-07-15',0.0,0.25,0.044285714285714282423,0.30999999999999999777,0.0,0.0,0.0,0.0
'2013-07-16',0.0,0.059999999999999997779,0.0085714285714285718548,0.059999999999999997779,0.0,0.0,0.0,0.0
'2013-07-17',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-07-18',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-07-19',0.0,0.059999999999999997779,0.0085714285714285718548,0.059999999999999997779,0.0,0.0,0.0,0.0
'2013-07-20',0.0,0.30999999999999999777,0.052857142857142859482,0.36999999999999999555,0.0,0.0,0.0,0.0
'2013-07-21',0.0,0.30999999999999999777,0.052857142857142859482,0.36999999999999999555,0.0,0.0,0.0,0.0
'2013-07-22',0.0,0.30999999999999999777,0.054285714285714284366,0.38000000000000000444,0.0,0.0,0.0,0.0
'2013-07-23',0.0,0.30999999999999999777,0.054285714285714284366,0.38000000000000000444,0.0,0.0,0.0,0.0
'2013-07-24',0.0,0.30999999999999999777,0.054285714285714284366,0.38000000000000000444,0.0,0.0,0.0,0.0
'2013-07-25',0.0,0.30999999999999999777,0.088571428571428564846,0.61999999999999999555,0.0,0.0,0.0,0.0
'2013-07-26',0.0,0.30999999999999999777,0.081428571428571433488,0.57000000000000006217,0.0,0.0,0.0,0.0
'2013-07-27',0.0,0.23999999999999999111,0.037142857142857144125,0.26000000000000000888,0.0,0.0,0.0,0.0
'2013-07-28',0.0,0.23999999999999999111,0.037142857142857144125,0.26000000000000000888,0.0,0.0,0.0,0.0
'2013-07-29',0.0,0.6500000000000000222,0.12857142857142858649,0.9000000000000000222,0.0,0.0,0.0,0.0
'2013-07-30',0.0,0.6500000000000000222,0.12857142857142858649,0.9000000000000000222,0.0,0.0,0.0,0.0
'2013-07-31',0.0,0.6500000000000000222,0.13714285714285714967,0.95999999999999996447,0.0,0.0,0.0,0.0
'2013-08-01',0.0,0.6500000000000000222,0.10285714285714285531,0.71999999999999997335,0.0,0.0,0.0,0.0
'2013-08-02',0.0,0.6500000000000000222,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
'2013-08-03',0.0,0.6500000000000000222,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
